Date,Country,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Dealer Longs,Dealer Shorts,Dealer Spreads,"Largest 4 Longs, Gross","Largest 4 Longs, Net","Largest 4 Shorts, Gross","Largest 4 Shorts, Net","Largest 8 Longs, Gross","Largest 8 Longs, Net","Largest 8 Shorts, Gross","Largest 8 Shorts, Net",Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Non Reportable Longs,Non Reportable Shorts,Open Interest,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts
2013-01-01,Mexico,23923.0,2557.0,1169.0,69717.0,52093.0,690.0,,,,,,,,,17899.0,49968.0,160.0,2578.0,6875.0,117370.0,1234.0,3858.0,0.0,114792.0,110495.0
2010-01-01,New Zealand,283.0,2022.0,0.0,5067.0,2035.0,0.0,,,,,,,,,603.0,3210.0,0.0,2521.0,1397.0,9033.0,559.0,369.0,0.0,6512.0,7636.0
2009-01-01,Japan,17103.0,4130.0,477.0,72473.0,110847.0,20946.0,,,,,,,,,44894.0,35661.0,31123.0,30845.0,21426.0,225253.0,6748.0,0.0,644.0,194407.0,203826.0
2009-01-01,Australia,6142.0,5165.0,0.0,7721.0,37033.0,2316.0,,,,,,,,,21925.0,8068.0,283.0,21671.0,8538.0,62022.0,1964.0,619.0,0.0,40351.0,53483.0
2010-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,Mexico,9724.0,128.0,144.0,11089.0,85429.0,945.0,,,,,,,,,68242.0,3616.0,121.0,5940.0,2832.0,96729.0,524.0,3514.0,0.0,90789.0,93897.0
2008-01-01,Switzerland,0.0,1033.0,0.0,19271.0,15032.0,780.0,,,,,,,,,18774.0,29135.0,726.0,17653.0,12169.0,58874.0,1671.0,0.0,0.0,41221.0,46705.0
2014-01-01,Brazil,2245.0,0.0,0.0,15786.0,18694.0,535.0,,,,,,,,,6436.0,2745.0,39.0,569.0,608.0,38246.0,12598.0,15587.0,38.0,37677.0,37638.0
2010-01-01,Mexico,5265.0,1997.0,0.0,4847.0,3324.0,0.0,,,,,,,,,2831.0,5606.0,23.0,2129.0,3850.0,15442.0,347.0,642.0,0.0,13313.0,11592.0
2010-01-01,Canada,9032.0,2457.0,383.0,11449.0,10600.0,4339.0,,,,,,,,,2467.0,16136.0,3702.0,23381.0,17871.0,57104.0,1328.0,594.0,1023.0,33723.0,39233.0
