Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1880-12-31,5.84,0.26,0.49,9.514585124,3.7266666666667003,145.93439881026,6.497079399087,12.244495790587,
1881-01-31,6.19,0.265,0.4858,9.419419835,3.7,156.24321861432,6.688926160387,12.262189919683001,18.473952301405
1881-02-28,6.17,0.27,0.4817,9.514585124,3.6933333333332996,154.18069189372,6.746967068282701,12.037089025155002,18.14725816499
1881-03-31,6.24,0.275,0.4775,9.514585124,3.6866666666667003,155.92990557808997,6.871910902880501,11.932136204092,18.270119140205
1881-04-30,6.22,0.28,0.4733,9.609669421,3.68,153.89220380134,6.927623322246599,11.710157565783,17.950108278223
1881-05-31,6.5,0.285,0.4692,9.514585124,3.6733333333332996,162.42698497716998,7.1217985720761,11.724729438660003,18.869718693153
1881-06-30,6.58,0.29,0.465,9.514585124,3.6666666666667003,164.42608633074,7.246742406674,11.619776617598,19.028710731116
1881-07-31,6.35,0.295,0.4608,9.609669421,3.66,157.10860034381,7.298746000224099,11.400888667469001,18.116367187389997
1881-08-31,6.2,0.3,0.4567,9.8,3.6533333333332996,150.41816836735,7.278298469387799,11.079996369898,17.286243553973
1881-09-30,6.25,0.305,0.4525,10.18058017,3.6466666666667003,145.96279511446002,7.1229844015854,10.567706366287,16.724836648773
1881-10-31,6.15,0.31,0.4483,10.27574545,3.64,142.29723474709,7.1727061417233005,10.372658591402,16.261989411181
1881-11-30,6.19,0.315,0.4442,10.18058017,3.6333333333332996,144.56155228136,7.356524873768599,10.373867774375,16.478642316645
1881-12-31,6.01,0.32,0.44,10.18058017,3.6266666666667002,140.35782378206002,7.4732951098601,10.275780776058001,15.958754206105
1882-01-31,5.92,0.32,0.4392,10.18058017,3.62,138.25595953241,7.4732951098601,10.257097538283,15.678764160028999
1882-02-28,5.79,0.32,0.4383,10.27574545,3.6208333333333,133.96764051799,7.4040837591982,10.141280973927,15.153861528362999
1882-03-31,5.78,0.32,0.4375,10.27574545,3.6216666666667003,133.73626290052,7.4040837591982,10.122770764529001,15.091670299487
1882-04-30,5.78,0.32,0.4367,10.37091074,3.6225,132.50907557228,7.3361425922368,10.011542093843,14.916997168375001
1882-05-31,5.71,0.32,0.4358,10.46599504,3.6233333333332998,129.71501967193998,7.2694932215447,9.9001410810911,14.567103202192
1882-06-30,5.68,0.32,0.435,10.56116033,3.6241666666667003,127.87079996918999,7.2039887306587005,9.792922180739199,14.327404890132
1882-07-31,6.0,0.32,0.4342,10.46599504,3.625,136.30299790396,7.2694932215447,9.8637936149834,15.240559761218
1882-08-31,6.18,0.32,0.4333,10.56116033,3.6258333333332997,139.12703236085,7.2039887306587005,9.7546509906076,15.525429331463
1882-09-30,6.24,0.32,0.4325,10.27574545,3.6266666666667002,144.37963330437,7.4040837591982,10.007081955791,16.081106624462
1882-10-31,6.07,0.32,0.4317,10.18058017,3.6275,141.75906661516,7.4732951098601,10.081942184146,15.755581030527
1882-11-30,5.81,0.32,0.4308,10.08541488,3.6283333333332997,136.96734779244,7.543812615074099,10.155857733044,15.192670313165
1882-12-31,5.84,0.32,0.43,9.990330579,3.6291666666667,138.9849163669,7.6156118557206,10.233478431124,15.382128332081999
1883-01-31,5.81,0.3208,0.4275,9.990330579,3.63,138.27095275543002,7.6346508853599,10.173981463502,15.270259119099
1883-02-28,5.68,0.3217,0.425,10.08541488,3.6291666666667,133.90267391757,7.5838891195917,10.019126129395,14.757590146176
1883-03-31,5.75,0.3225,0.4225,9.990330579,3.6283333333332997,136.84302553248,7.675108823343401,10.054987528256,15.051254121402
1883-04-30,5.87,0.3233,0.42,9.895165289,3.6275,141.04241331385,7.7681451830269,10.091620714109,15.482067222037001
1883-05-31,5.77,0.3242,0.4175,9.8,3.6266666666667002,139.98594056122,7.865414545918401,10.128965369898,15.335497637337001
1883-06-30,5.82,0.325,0.415,9.514585124,3.6258333333332997,145.43462347187,8.1213492488587,10.37033827162,15.903388388584002
1883-07-31,5.73,0.3258,0.4125,9.324254545,3.625,146.10839943558997,8.3075247008929,10.518274828479,15.948783127017
1883-08-31,5.47,0.3267,0.41,9.324254545,3.6241666666667003,139.47869893764,8.330473664155,10.454527708306001,15.196810876629998
1883-09-30,5.53,0.3275,0.4075,9.229089256,3.6233333333332998,142.46263320568002,8.4369823462676,10.497924598791,15.494692425793
1883-10-31,5.38,0.3283,0.405,9.229089256,3.6225,138.5983664822,8.457591768792799,10.4335201534,15.048056270223999
1883-11-30,5.46,0.3292,0.4025,9.134004959,3.6216666666667003,142.12356144178003,8.569061616599901,10.477057413977999,15.408218142449
