Date,Country,Composite Leading Index
2012-01-01,Sweden,101.4649
1966-01-01,France,
1968-01-01,Brazil,
1976-01-01,Poland,
1968-01-01,Canada,98.83899
1969-01-01,United States,100.7305
1960-01-01,Italy,
1987-01-01,Germany,100.5025
2014-01-01,Israel,99.60767
1961-01-01,Switzerland,
2008-01-01,Spain,102.2306
2006-01-01,Sweden,99.87357
1974-01-01,South Africa,
1986-01-01,Spain,98.00751
1975-01-01,Norway,102.3825
1987-01-01,Luxembourg,
1997-01-01,Chile,
1972-01-01,Hungary,
1961-01-01,Czech Republic,
1987-01-01,Slovak Republic,
2009-01-01,Korea,100.2489
1994-01-01,Sweden,96.51176
1980-01-01,Australia,100.5279
2002-01-01,Turkey,97.70526
1977-01-01,Russia,
1979-01-01,Mexico,
1971-01-01,People's Republic of China.: Mainland,
1997-01-01,Belgium,99.05407
1983-01-01,Estonia,
1993-01-01,United Kingdom,99.27358
1969-01-01,Mexico,
1964-01-01,Australia,
2015-01-01,South Africa,100.3956
1995-01-01,Indonesia,
1995-01-01,Ireland,99.48854
1986-01-01,Australia,100.7163
2006-01-01,Turkey,101.9153
2015-01-01,France,99.63878
1956-01-01,Turkey,
1969-01-01,Indonesia,
1966-01-01,Mexico,
1992-01-01,Australia,97.50501
1990-01-01,Hungary,
1967-01-01,Spain,
2006-01-01,New Zealand,101.2287
1962-01-01,Australia,
1969-01-01,Czech Republic,
2013-01-01,Sweden,99.80215
1963-01-01,Spain,
2006-01-01,Greece,98.41885
1977-01-01,Germany,101.5463
1983-01-01,Korea,
2007-01-01,Brazil,99.22579
1982-01-01,Greece,98.231
1994-01-01,Estonia,
1982-01-01,New Zealand,
1975-01-01,Hungary,
1985-01-01,Germany,101.4271
1987-01-01,Japan,98.62803
2001-01-01,Japan,101.0711
2007-01-01,Luxembourg,100.5841
2014-01-01,Denmark,99.10616
2015-01-01,Greece,98.8597
2000-01-01,Finland,98.40871
1996-01-01,Austria,102.0117
1979-01-01,Germany,99.6062
2009-01-01,Portugal,102.4558
1981-01-01,Japan,101.6316
1986-01-01,United Kingdom,100.1251
1966-01-01,Norway,
1956-01-01,Norway,
1957-01-01,United Kingdom,
2001-01-01,Sweden,101.035
1966-01-01,Russia,
1983-01-01,Indonesia,
2011-01-01,Israel,99.11524
1999-01-01,Korea,95.43317
2005-01-01,Netherlands,99.55688
1984-01-01,People's Republic of China.: Mainland,
2006-01-01,United Kingdom,100.6678
1963-01-01,United States,101.2258
2008-01-01,Norway,101.8823
2010-01-01,Slovenia,95.17127
1970-01-01,Russia,
2008-01-01,Canada,100.3238
1986-01-01,Slovenia,
1962-01-01,Japan,101.6263
1970-01-01,South Africa,
2010-01-01,Japan,97.4343
2003-01-01,Mexico,99.79503
1984-01-01,Finland,
1959-01-01,Poland,
2012-01-01,Germany,102.6366
1975-01-01,Chile,
2001-01-01,Finland,103.6828
2008-01-01,Poland,102.1553
1988-01-01,Belgium,99.42525
1997-01-01,Luxembourg,99.34283
2007-01-01,Italy,99.938
1970-01-01,Italy,100.6996
1968-01-01,Czech Republic,
1981-01-01,Canada,100.2296
2013-01-01,Germany,99.70695
1967-01-01,Austria,100.4509
1979-01-01,United States,101.4367
1978-01-01,Japan,101.2849
2003-01-01,Czech Republic,99.6937
1965-01-01,Indonesia,
1995-01-01,France,99.29946
1986-01-01,New Zealand,
1973-01-01,Luxembourg,
1994-01-01,Israel,
1957-01-01,Russia,
2015-01-01,Sweden,99.32157
1960-01-01,Mexico,
1967-01-01,Germany,99.48321
1964-01-01,Israel,
1973-01-01,Estonia,
1967-01-01,Italy,98.64426
1999-01-01,Australia,100.529
2012-01-01,Portugal,102.4444
2009-01-01,Sweden,101.3063
1977-01-01,Spain,
1980-01-01,Greece,107.0713
1996-01-01,People's Republic of China.: Mainland,100.3652
1999-01-01,Israel,99.30381
1998-01-01,Slovenia,100.9269
1971-01-01,Israel,
1982-01-01,People's Republic of China.: Mainland,
1960-01-01,Czech Republic,
2001-01-01,Poland,99.84444
2003-01-01,Netherlands,99.06058
1971-01-01,Hungary,
2011-01-01,South Africa,98.31345
